CASE NUMBER,CITY,ZIP,MONTH,YEAR,DISPO TYPE,ANSWER,MONEY JUDGMENT,DEFAULT
37-2018-00001627-CL-UD-CTL,San Marcos,92078,1,2018,Default judgment by court,N,Y,Y
37-2018-00001633-CL-UD-CTL,San Diego,92114,1,2018,Default judgment by court,N,Y,Y
37-2018-00001661-CL-UD-CTL,Escondido,92025,1,2018,Stipulated judgment,N,N,N
37-2018-00001687-CL-UD-CTL,Oceanside,92054,1,2018,Other court dismissal - Conditional or Good Faith,Y,N,N
37-2018-00001689-CL-UD-CTL,El Cajon,92021,1,2018,Court finding,Y,N,Y
37-2018-00001706-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00001767-CL-UD-CTL,San Diego,92129,1,2018,Default judgment by court,N,Y,Y
37-2018-00001787-CL-UD-CTL,San Diego,92117,1,2018,Stipulated judgment,Y,N,N
37-2018-00001796-CL-UD-CTL,La Mesa,91942,1,2018,Court finding,Y,Y,N
37-2018-00001805-CL-UD-CTL,San Diego,92104,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001810-CL-UD-CTL,San Diego,92103,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001811-CL-UD-CTL,San Diego,92107,1,2018,Court finding,Y,N,N
37-2018-00001815-CL-UD-CTL,Escondido,92025,1,2018,Default judgment by court,N,Y,Y
37-2018-00001820-CL-UD-CTL,San Diego,92104,1,2018,Default judgment by court,N,Y,Y
37-2018-00001828-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00001864-CL-UD-CTL,ESCONDIDO,92027,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001866-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00001880-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by court,N,Y,Y
37-2018-00001897-CL-UD-CTL,San Ysidro,92173,1,2018,Court finding,Y,N,Y
37-2018-00001903-CL-UD-CTL,SAN DIEGO,92122,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001931-CL-UD-CTL,SAN DIEGO,92114,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001995-CL-UD-CTL,Spring Valley,91977,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00002041-CL-UD-CTL,Oceanside,92057,1,2018,Default judgment by court,N,Y,Y
37-2018-00002265-CL-UD-CTL,National City,91950,1,2018,Default judgment by court,N,Y,Y
37-2018-00002298-CL-UD-CTL,Oceanside,92054,1,2018,Court finding,Y,N,N
37-2018-00002301-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by court,N,Y,Y
37-2018-00002303-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by court,N,Y,Y
37-2018-00002310-CL-UD-CTL,Vista,92081,1,2018,Default judgment by court,N,Y,Y
37-2018-00002312-CL-UD-CTL,San Diego,92104,1,2018,Default judgment by court,N,Y,Y
37-2018-00002408-CL-UD-CTL,San Diego,92111,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002412-CL-UD-CTL,San Dieogo,92101,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002419-CL-UD-CTL,San Diego,92108,1,2018,Default judgment by court,N,Y,Y
37-2018-00002424-CL-UD-CTL,San Diego,92104,1,2018,Default judgment by court,N,N,Y
37-2018-00002425-CL-UD-CTL,San Diego,92126,1,2018,Default judgment by court,Y,Y,Y
37-2018-00002459-CL-UD-CTL,Carlsbad,92009,1,2018,Default judgment by court,N,Y,Y
37-2018-00002465-CL-UD-CTL,Lemon Grove,91945,1,2018,Default judgment by court,N,Y,Y
37-2018-00002466-CL-UD-CTL,San Diego,92105,1,2018,Court finding,Y,Y,N
37-2018-00002489-CL-UD-CTL,El Cajon,92021,1,2018,Court finding,N,N,Y
37-2018-00002519-CL-UD-CTL,San Diego,92102,1,2018,Default judgment by court,N,N,Y
37-2018-00002541-CL-UD-CTL,San Diego,92107,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002554-CL-UD-CTL,Oceanside,92054,1,2018,Default judgment by court,N,Y,Y
37-2018-00002560-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by court,N,Y,Y
37-2018-00002562-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by court,N,Y,Y
37-2018-00002563-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002568-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by court,N,N,Y
37-2018-00002570-CL-UD-CTL,San Diego,92113,1,2018,Default judgment by court,N,Y,N
37-2018-00002579-CL-UD-CTL,Vista,92081,1,2018,Default judgment by court,N,Y,Y
37-2018-00002617-CL-UD-CTL,San Diego,92102,1,2018,Default judgment by clerk,Y,N,N
37-2018-00002623-CL-UD-CTL,Spring Valley,91977,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002624-CL-UD-CTL,San Diego,92107,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002630-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002638-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by court,N,Y,Y
37-2018-00002643-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by court,N,Y,Y
37-2018-00002710-CL-UD-CTL,San Diego,92154,1,2018,Court finding,Y,Y,N
37-2018-00002712-CL-UD-CTL,Escondido,92025,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002718-CL-UD-CTL,Chula Vista,91910,1,2018,Court finding,Y,N,N
37-2018-00002738-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00002740-CL-UD-CTL,Oceanside,92058,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002741-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002743-CL-UD-CTL,San Diego,92110,1,2018,Court finding,Y,Y,N
37-2018-00002751-CL-UD-CTL,San Diego,92114,1,2018,Default judgment by court,N,Y,Y
37-2018-00002756-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00002790-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00002800-CL-UD-CTL,El Cajon,92021,1,2018,Default judgment by court,N,Y,Y
37-2018-00002813-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002827-CL-UD-CTL,CHULA VISTA,91910,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002830-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00002832-CL-UD-CTL,San Diego,92123,1,2018,Default judgment by court,N,N,Y
37-2018-00002843-CL-UD-CTL,Escondido,92027,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002862-CL-UD-CTL,Ramona,92065,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002893-CL-UD-CTL,San Diego,92122,1,2018,Default judgment by court,N,Y,Y
37-2018-00002913-CL-UD-CTL,Chula Vista,91913,1,2018,Default judgment by court,N,Y,Y
37-2018-00002935-CL-UD-CTL,Escondido,92025,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002952-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by court,N,Y,Y
37-2018-00002953-CL-UD-CTL,Oceanside,92054,1,2018,Default judgment by clerk,N,N,Y
37-2018-00002978-CL-UD-CTL,Carlsbad,92008,1,2018,Default judgment by court,N,Y,Y
37-2018-00002985-CL-UD-CTL,San Marcos,92078,1,2018,Default judgment by court,N,Y,Y
37-2018-00003012-CL-UD-CTL,San Diego,92102,1,2018,Court finding,Y,Y,N
37-2018-00003087-CL-UD-CTL,National City,91950,1,2018,Court finding,Y,Y,N
37-2018-00003099-CL-UD-CTL,Encinitas,92024,1,2018,Default judgment by court,N,Y,Y
37-2018-00003103-CL-UD-CTL,LAKESIDE,92040,1,2018,Default judgment by court,N,Y,Y
37-2018-00003109-CL-UD-CTL,SPRING VALLEY,91978,1,2018,Default judgment by court,N,Y,Y
37-2018-00003110-CL-UD-CTL,San Diego,92139,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003127-CL-UD-CTL,VISTA,92083,1,2018,Court finding,Y,Y,Y
37-2018-00003148-CL-UD-CTL,San Diego,92104,1,2018,Default judgment by court,N,Y,Y
37-2018-00003150-CL-UD-CTL,San Diego,92154,1,2018,Court finding,Y,N,N
37-2018-00003157-CL-UD-CTL,92116,,1,2018,Default judgment by court,N,N,Y
37-2018-00003168-CL-UD-CTL,San Diego,92130,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003219-CL-UD-CTL,Santee,92071,1,2018,Default judgment by court,N,Y,Y
37-2018-00003261-CL-UD-CTL,San Diego,92108,1,2018,Default judgment by court,N,Y,Y
37-2018-00003321-CL-UD-CTL,San Diego,92123,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003337-CL-UD-CTL,San Diego,92115,1,2018,Stipulated judgment,Y,Y,N
37-2018-00003344-CL-UD-CTL,Escondido,92027,1,2018,Default judgment by court,N,Y,Y
37-2018-00003352-CL-UD-CTL,Escondido,92027,1,2018,Default judgment by court,N,Y,Y
37-2018-00003361-CL-UD-CTL,San Diego,92126,1,2018,Court finding,Y,Y,N
37-2018-00003365-CL-UD-CTL,El Cajon,92020,1,2018,Default judgment by court,N,Y,Y
37-2018-00003445-CL-UD-CTL,San DIego,92101,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003448-CL-UD-CTL,Fallbrook,92028,1,2018,Default judgment by court,N,N,Y
37-2018-00003465-CL-UD-CTL,Oceanside,92058,1,2018,Default judgment by court,N,Y,Y
37-2018-00003470-CL-UD-CTL,San Diego,92102,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003474-CL-UD-CTL,San Diego,92115,1,2018,Default judgment by court,N,Y,Y
37-2018-00003497-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00003511-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by court,N,Y,Y
37-2018-00003531-CL-UD-CTL,San Diego,92122,1,2018,Default judgment by court,N,Y,Y
37-2018-00003567-CL-UD-CTL,San Diego,92110,1,2018,Default judgment by court,N,Y,Y
37-2018-00003570-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00003571-CL-UD-CTL,DEL MAR,92014,1,2018,Default judgment by court,N,N,Y
37-2018-00003576-CL-UD-CTL,Ramona,92065,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003591-CL-UD-CTL,San Diego,92103,1,2018,Default judgment by court,N,Y,Y
37-2018-00003620-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by court,N,Y,N
37-2018-00003629-CL-UD-CTL,Chula Vista,91914,1,2018,Default judgment by court,N,Y,Y
37-2018-00003643-CL-UD-CTL,SAN DIEGO,92126,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003655-CL-UD-CTL,VISTA,92084,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003692-CL-UD-CTL,Spring Valley,91977,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003696-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003701-CL-UD-CTL,San Diego,92126,1,2018,Default judgment by court,N,Y,Y
37-2018-00003713-CL-UD-CTL,Escondido,92026,1,2018,Default judgment by court,N,Y,Y
37-2018-00003734-CL-UD-CTL,San Diego,92102,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003771-CL-UD-CTL,El Cajon,92020,1,2018,Court finding,Y,Y,N
37-2018-00003778-CL-UD-CTL,Imperial Beach,91932,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003799-CL-UD-CTL,SAN DIEGO,92115,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003810-CL-UD-CTL,Ramona,92065,1,2018,Default judgment by clerk,N,N,Y
37-2018-00003858-CL-UD-CTL,SAN DIEGO,92107,1,2018,Default judgment by court,N,Y,Y
37-2018-00003871-CL-UD-CTL,CHULA VISTA,91910,1,2018,Court finding,Y,N,N
37-2018-00003988-CL-UD-CTL,CHULA VISTA,91910,1,2018,Court finding,Y,N,Y
37-2018-00003996-CL-UD-CTL,San Diego,92154,1,2018,Court finding,Y,Y,N
37-2018-00004023-CL-UD-CTL,Escondido,92026,1,2018,Court finding,Y,Y,N
37-2018-00004045-CL-UD-CTL,Poway,92064,1,2018,Court finding,Y,Y,Y
37-2018-00004063-CL-UD-CTL,Oceanside,92054,1,2018,Default judgment by clerk,N,N,Y
37-2018-00004064-CL-UD-CTL,El Cajon,92021,1,2018,Default judgment by court,N,Y,Y
37-2018-00004085-CL-UD-CTL,La Jolla,92037,1,2018,Court finding,Y,Y,N
37-2018-00004101-CL-UD-CTL,Escondido,92026,1,2018,Default judgment by court,N,Y,Y
37-2018-00004114-CL-UD-CTL,San Diego,92119,1,2018,Default judgment by court,N,Y,Y
37-2018-00004120-CL-UD-CTL,Oceanside,92056,1,2018,Default judgment by court,N,Y,Y
37-2018-00004123-CL-UD-CTL,Imperial Beach,91932,1,2018,,N,Y,Y
37-2018-00004130-CL-UD-CTL,Fallbrook,92028,1,2018,Default judgment by court,N,Y,Y
37-2018-00004145-CL-UD-CTL,National City,91950,1,2018,Court finding,Y,N,Y
37-2018-00004180-CL-UD-CTL,Lemon Grove,91945,1,2018,,Y,N,N
37-2018-00004182-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by court,N,Y,Y
37-2018-00004200-CL-UD-CTL,San Diego,92131,1,2018,Court finding,Y,Y,N
37-2018-00004225-CL-UD-CTL,San Diego,92114,1,2018,Default judgment by clerk,N,N,Y
37-2018-00004228-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00004280-CL-UD-CTL,San Marcos,92078,1,2018,Default judgment by court,N,Y,Y
37-2018-00004288-CL-UD-CTL,Vista,92083,1,2018,Default judgment by clerk,N,N,Y
37-2018-00004303-CL-UD-CTL,San Diego,92124,1,2018,Default judgment by court,N,Y,Y
37-2018-00004306-CL-UD-CTL,Spring Valley,91977,1,2018,Default judgment by clerk,N,N,Y
37-2018-00004307-CL-UD-CTL,Imperial Beach,91932,1,2018,Default judgment by court,N,Y,Y
37-2018-00004311-CL-UD-CTL,San Diego,92124,1,2018,Default judgment by court,N,Y,Y
37-2018-00004330-CL-UD-CTL,San Diego,92124,1,2018,Default judgment by court,N,Y,Y
37-2018-00004331-CL-UD-CTL,Vista,92081,1,2018,Default judgment by court,N,Y,Y
37-2018-00004339-CL-UD-CTL,Chula Vista,91910,1,2018,Court-ordered dismissal,N,Y,Y
37-2018-00004344-CL-UD-CTL,San Diego,92106,1,2018,Court finding,Y,N,N
37-2018-00004346-CL-UD-CTL,San Diego,92124,1,2018,Court finding,Y,N,N
37-2018-00004381-CL-UD-CTL,San Diego,92124,1,2018,Default judgment by court,N,Y,Y
37-2018-00004411-CL-UD-CTL,Escondido,92025,1,2018,Default judgment by court,N,Y,Y
37-2018-00004422-CL-UD-CTL,San Diego,92139,1,2018,Default judgment by clerk,N,N,Y
37-2018-00004485-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by court,N,Y,Y
